,title,Average total pay,additional pay,creditbility
198,Assistant Manager,$19,$2,Based on 23 Salaries
199,Cook,$17,$0,Based on 21 Salaries
200,Cook,$17,$0,Based on 21 Salaries
201,Kitchen Help,$17,0,Based on 15 Salaries
202,Shift Leader,$19,0,Based on 12 Salaries
203,Counter Help,$14,$0,Based on 11 Salaries
204,Lead Counter,$13,0,Based on 6 Salaries
205,Cashier,$14,$0,Based on 6 Salaries
206,Shift Leader,$19,0,Based on 6 Salaries
207,Front of House,$13,0,Based on 4 Salaries
208,Counter Help,$14,$0,Based on 43 Salaries
209,General Manager,$28,$9,Based on 27 Salaries
210,Cashier,$15,$0,Based on 25 Salaries
211,Assistant Manager,$19,$2,Based on 23 Salaries
212,Cook,$17,$0,Based on 21 Salaries
213,Cook,$17,$0,Based on 21 Salaries
214,Kitchen Help,$17,0,Based on 15 Salaries
215,Shift Leader,$19,0,Based on 12 Salaries
216,Counter Help,$14,$0,Based on 11 Salaries
217,Lead Counter,$13,0,Based on 6 Salaries
218,Cashier,$14,$0,Based on 6 Salaries
219,Shift Leader,$19,0,Based on 6 Salaries
220,Front of House,$13,0,Based on 4 Salaries
221,Counter Help,$14,$0,Based on 43 Salaries
222,General Manager,$28,$9,Based on 27 Salaries
223,Cashier,$15,$0,Based on 25 Salaries
224,Assistant Manager,$19,$2,Based on 23 Salaries
225,Cook,$17,$0,Based on 21 Salaries
226,Cook,$17,$0,Based on 21 Salaries
227,Kitchen Help,$17,0,Based on 15 Salaries
228,Shift Leader,$19,0,Based on 12 Salaries
229,Counter Help,$14,$0,Based on 11 Salaries
230,Lead Counter,$13,0,Based on 6 Salaries
231,Cashier,$14,$0,Based on 6 Salaries
232,Shift Leader,$19,0,Based on 6 Salaries
233,Front of House,$13,0,Based on 4 Salaries
234,Counter Help,$14,$0,Based on 43 Salaries
235,General Manager,$28,$9,Based on 27 Salaries
236,Cashier,$15,$0,Based on 25 Salaries
237,Assistant Manager,$19,$2,Based on 23 Salaries
238,Cook,$17,$0,Based on 21 Salaries
239,Cook,$17,$0,Based on 21 Salaries
240,Kitchen Help,$17,0,Based on 15 Salaries
241,Shift Leader,$19,0,Based on 12 Salaries
242,Counter Help,$14,$0,Based on 11 Salaries
243,Lead Counter,$13,0,Based on 6 Salaries
244,Cashier,$14,$0,Based on 6 Salaries
245,Shift Leader,$19,0,Based on 6 Salaries
246,Front of House,$13,0,Based on 4 Salaries
247,Counter Help,$14,$0,Based on 43 Salaries
248,General Manager,$28,$9,Based on 27 Salaries
249,Cashier,$15,$0,Based on 25 Salaries
250,Assistant Manager,$19,$2,Based on 23 Salaries
251,Cook,$17,$0,Based on 21 Salaries
252,Cook,$17,$0,Based on 21 Salaries
253,Kitchen Help,$17,0,Based on 15 Salaries
254,Shift Leader,$19,0,Based on 12 Salaries
255,Counter Help,$14,$0,Based on 11 Salaries
256,Lead Counter,$13,0,Based on 6 Salaries
257,Cashier,$14,$0,Based on 6 Salaries
258,Shift Leader,$19,0,Based on 6 Salaries
259,Front of House,$13,0,Based on 4 Salaries
